Date,total
20200526,8.0
20200527,23.0
20200528,8.0
20200529,0.0
20200601,2.0
20200602,4.0
20200603,5.0
20200604,7.0
20200605,2.0
20200608,2.0
20200609,0.0
20200610,0.0
20200611,0.0
20200612,0.0
20200615,2.0
20200616,1.0
20200617,1.0
20200618,5.0
20200619,8.0
20200622,2.0
20200623,1.0
20200624,0.0
20200625,0.0
20200626,0.0
20200629,0.0
20200630,4.0
20200701,4.0
20200702,2.0
20200706,2.0
20200707,0.0
20200708,3.0
20200709,3.0
20200710,2.0
20200713,8.0
20200714,1.0
20200715,1.0
20200716,2.0
20200717,9.0
20200720,1.0
20200721,6.0
20200722,2.0
20200723,7.0
20200724,1.0
20200727,0.0
20200728,2.0
20200729,4.0
20200730,0.0
20200731,0.0
20200803,1.0
20200804,2.0
20200805,1.0
20200806,0.0
20200807,2.0
20200810,1.0
20200811,5.0
20200812,3.0
20200813,3.0
20200814,2.0
20200817,4.0
20200818,0.0
20200819,2.0
20200820,0.0
20200821,0.0
20200824,1.0
20200825,7.0
20200826,4.0
20200827,0.0
20200828,2.0
20200831,0.0
20200901,1.0
20200902,3.0
20200903,0.0
20200904,0.0
20200908,0.0
20200909,5.0
20200910,1.0
20200911,3.0
20200914,2.0
20200915,2.0
20200916,6.0
20200917,0.0
20200918,1.0
20200921,0.0
20200922,3.0
20200923,3.0
20200924,0.0
20200925,4.0
20200928,5.0
20200929,6.0
20200930,2.0
20201001,4.0
20201002,1.0
20201005,1.0
20201006,6.0
20201007,1.0
20201008,1.0
20201009,5.0
20201012,4.0
20201013,9.0
20201014,4.0
20201015,1.0
20201016,2.0
20201019,1.0
20201020,2.0
20201021,1.0
20201022,0.0
20201023,3.0
20201026,2.0
20201027,2.0
20201028,1.0
20201029,1.0
20201030,3.0
20201102,2.0
20201103,0.0
20201104,2.0
20201105,2.0
20201106,6.0
20201109,7.0
20201110,1.0
20201111,1.0
20201112,2.0
20201113,8.0
20201116,7.0
20201117,5.0
20201118,5.0
20201119,0.0
20201120,0.0
20201123,0.0
20201124,1.0
20201125,4.0
20201127,4.0
20201130,1.0
20201201,3.0
20201202,2.0
20201203,6.0
20201204,2.0
20201207,3.0
20201208,5.0
20201209,2.0
20201210,2.0
20201211,2.0
20201214,5.0
20201215,4.0
20201216,0.0
20201217,4.0
20201218,3.0
20201221,1.0
20201222,1.0
20201223,4.0
20201224,4.0
20201228,1.0
20201229,0.0
20201230,5.0
20201231,9.0
20210104,4.0
20210105,0.0
20210106,3.0
20210107,3.0
20210108,1.0
20210111,1.0
20210112,9.0
20210113,0.0
20210114,1.0
20210115,1.0
20210119,2.0
20210120,2.0
20210121,4.0
20210122,0.0
20210125,0.0
20210126,0.0
20210127,0.0
20210128,0.0
20210129,0.0
20210201,2.0
20210202,2.0
20210203,3.0
20210204,1.0
20210205,6.0
20210208,8.0
20210209,5.0
20210210,1.0
20210211,1.0
20210212,0.0
20210216,6.0
20210217,1.0
20210218,2.0
20210219,2.0
20210222,2.0
20210223,2.0
20210224,0.0
20210225,1.0
20210226,0.0
20210301,0.0
20210302,0.0
20210303,2.0
20210304,0.0
20210305,0.0
20210308,2.0
20210309,2.0
20210310,0.0
20210311,4.0
20210312,1.0
20210315,2.0
20210316,5.0
20210317,2.0
20210318,1.0
20210319,0.0
20210322,0.0
20210323,0.0
20210324,0.0
20210325,0.0
20210326,3.0
20210329,1.0
20210330,0.0
20210331,0.0
20210401,1.0
20210405,1.0
20210406,0.0
20210407,1.0
20210408,6.0
20210409,4.0
20210412,3.0
20210413,0.0
20210414,3.0
20210415,2.0
20210416,3.0
20210419,0.0
20210420,1.0
20210421,3.0
20210422,6.0
20210423,1.0
20210426,1.0
20210427,2.0
20210428,2.0
20210429,0.0
20210430,2.0
20210503,3.0
20210504,0.0
20210505,0.0
20210506,5.0
20210507,4.0
20210510,3.0
20210511,1.0
20210512,0.0
20210513,2.0
20210514,3.0
20210517,1.0
20210518,8.0
20210519,1.0
